East,North,Year,Season,Date,Transect,Quad,DIST.,Water Depth,Spp,Common Name,Scientific Name,Percent,Height,Density,Obs,Comments
549915,4219872,2002,Summer,8/23/2002,2A,1,0,,DOM,dead & standing,N/A,15,14,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,1,0,,BARE,bare ground,N/A,85,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,2,3,,CESO,Yellow star thistle,Centaurea solstitialis,20,44,1,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,2,3,,DOM,dead & standing,N/A,20,40,30,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,2,3,,BARE,bare ground,N/A,60,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,3,6,,DOM,dead & standing,N/A,80,52,300,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,3,6,,BARE,bare ground,N/A,15,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,3,6,,SPMA,Sand Spurrey,Spergularia macrotheca,5,10,5,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,4,9,,DOM,dead & standing,N/A,40,45,125,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,4,9,,BARE,bare ground,N/A,30,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,5,12,,DOM,dead & standing,N/A,60,54,150,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,5,12,,CESO,Yellow star thistle,Centaurea solstitialis,5,20,2,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,5,12,,BARE,bare ground,N/A,35,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,6,15,,DOM,dead & standing,N/A,100,58,>500,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,7,18,,WR,wrack,N/A,10,7,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,7,18,,DOM,dead & standing,N/A,25,23,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,7,18,,BARE,bare ground,N/A,,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,8,21,,DOM,dead & standing,N/A,60,5,80,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,8,21,,BARE,bare ground,N/A,40,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,9,24,,LI,Litter (dead & not standing),N/A,15,7,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,9,24,,BARE,bare ground,N/A,85,,,CR;SD,
549915,4219872,2002,Summer,8/23/2002,2A,10,27,,LI,Litter (dead & not standing),N/A,5,0,,CR;SD,
549526,4219628,2002,Summer,8/23/2002,3A,1,0,,BARE,bare ground,N/A,100,,,CR;SD,
549526,4219628,2002,Summer,8/23/2002,3A,2,3,,BARE,bare ground,N/A,100,,,CR;SD,
549526,4219628,2002,Summer,8/23/2002,3A,3,6,,ATTR,Fat hen,Atriplex triangularis,60,24,2,CR;SD,
549526,4219628,2002,Summer,8/23/2002,3A,3,6,,BARE,bare ground,N/A,40,,,CR;SD,
549526,4219628,2002,Summer,8/23/2002,3A,4,9,,SAVI,Pickleweed,Salicornia virginica,30,40,30,CR;SD,seedlings
549526,4219628,2002,Summer,8/23/2002,3A,3,12,,BARE,bare ground,N/A,100,,,CR;SD,
579784,4219341,2002,Summer,8/23/2002,3A,1,505,,DOM,dead & standing,N/A,30,82,40,CR;SD,
579784,4219341,2002,Summer,8/23/2002,3A,1,505,,UNKN,Unknown,N/A,5,12,,CR;SD,
579784,4219341,2002,Summer,8/23/2002,3A,1,505,,LI,Litter (dead & not standing),N/A,15,,,CR;SD,
579784,4219341,2002,Summer,8/23/2002,3A,2,502,,LI,Litter (dead & not standing),N/A,95,50,,CR;SD,
579784,4219341,2002,Summer,8/23/2002,3A,2,502,,BARE,bare ground,N/A,5,,,CR;SD,
849974,4219478,2002,Summer,8/21/2002,3A,2B,407,,DOM,dead & standing,N/A,5,18,,CR;SD,
849974,4219478,2002,Summer,8/21/2002,3A,2B,407,,LI,Litter (dead & not standing),N/A,15,0,,CR;SD,
849974,4219478,2002,Summer,8/21/2002,3A,2B,407,,BARE,bare ground,N/A,85,,,CR;SD,
550106,4219823,2002,Summer,8/23/2002,3B,1,0,,WR,wrack,N/A,10,1,,CR;SD,
550106,4219823,2002,Summer,8/23/2002,3B,1,0,,BARE,bare ground,N/A,90,,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,1,0,,DOM,dead & standing,N/A,10,48,1,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,1,0,,LI,Litter (dead & not standing),N/A,10,,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,1,0,,BARE,bare ground,N/A,80,,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,2,3,,JACA,Salmarsh Daisy,Jaumea carnosa,10,5,1,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,2,3,,DOM,dead & standing,N/A,5,11,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,2,3,,LI,Litter (dead & not standing),N/A,1,3,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,2,3,,BARE,bare ground,N/A,82,,,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,3,6,,SPFO,Cordgrass,Spartina foliosa,5,58,4,CR;SD,
550880,4219654,2002,Summer,8/23/2002,4B,3,6,,BARE,bare ground,N/A,95,,,CR;SD,
549716,4219834,2003,SPRING,5/16/2003,1A,1,0,,DOM,dead & standing,N/A,30,15,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,1,0,,LOMU,Italian Rye Grass,Lolium multiflorum,40,28,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,1,0,,BARE,bare ground,N/A,,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,2,3,,LOCO,Birdfoot trefoil,Lotus corniculatus,90,15,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,2,3,,LOMU,Italian Rye Grass,Lolium multiflorum,20,47,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,2,3,,RUCR,Curly dock,Rumex crispus,2,13,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,3,6,,LOMU,Italian Rye Grass,Lolium multiflorum,60,50,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,3,6,,RASA,Common wild radish,Raphanus sativus,20,46,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,3,6,,LOCO,Birdfoot trefoil,Lotus corniculatus,10,10,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,3,6,,SPAR,Spurrey,Sperugula arvensis,30,9,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,3,6,,LI,Litter (dead & not standing),N/A,30,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,4,9,,LOMU,Italian Rye Grass,Lolium multiflorum,70,45,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,4,9,,DOM,dead & standing,N/A,45,68,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,4,9,,RUCR,Curly dock,Rumex crispus,2,78,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,4,9,,RASA,Common wild radish,Raphanus sativus,2,54,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,5,12,,LOMU,Italian Rye Grass,Lolium multiflorum,60,55,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,5,12,,BARE,bare ground,N/A,30,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,6,15,,SAVI,Pickleweed,Salicornia virginica,70,37,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,6,15,,BARE,bare ground,N/A,30,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,6,15,,DOM,dead & standing,N/A,10,37,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,7,18,,SAVI,Pickleweed,Salicornia virginica,95,40,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,7,18,,DOM,dead & standing,N/A,5,48,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,8,21,,DOM,dead & standing,N/A,25,62,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,8,21,,SAVI,Pickleweed,Salicornia virginica,45,64,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,8,21,,BARE,bare ground,N/A,20,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,9,24,2,SAVI,Pickleweed,Salicornia virginica,70,29,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,9,24,2,DOM,dead & standing,N/A,15,10,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,9,24,2,BARE,bare ground,N/A,15,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,10,27,,SAVI,Pickleweed,Salicornia virginica,15,34,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,10,27,,MF,mudflat,N/A,85,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,11,30,,MF,mudflat,N/A,100,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,11,30,,SAVI,Pickleweed,Salicornia virginica,1,7,1A,AW ; CR,SEEDLING
549716,4219834,2003,SPRING,5/16/2003,1A,12,33,,DOM,dead & standing,N/A,1,4,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,12,33,,MF,mudflat,N/A,100,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,13,36,,MF,mudflat,N/A,100,,1A,AW ; CR,
549716,4219834,2003,SPRING,5/16/2003,1A,14,39,,MF,mudflat,N/A,100,,1A,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,SPAR,Spurrey,Sperugula arvensis,20,13,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,RASA,Common wild radish,Raphanus sativus,70,83,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,ANAR,Scarlet pimpernel,Anagallis arvensis,1,6,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,LOMU,Italian Rye Grass,Lolium multiflorum,1,30,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,BRRA,Wild turnip (mustard family),Brassica rapa,1,14,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,1,0,,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,1,17,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,2,3,,LI,Litter (dead & not standing),N/A,10,7,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,2,3,,RASA,Common wild radish,Raphanus sativus,1,41,1B,AW ; CR,
549742,4219301,2003,SPRING,5/16/2003,1B,2,3,,ATTR,Fat hen,Atriplex triangularis,1,8,1B,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,LOMU,Italian Rye Grass,Lolium multiflorum,60,50,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,RUCR,Curly dock,Rumex crispus,20,25,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,WR,wrack,N/A,15,8,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,BARE,bare ground,N/A,10,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,VISA,Common vetch,Vicia sativa,1,12,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,1,0,,RASA,Common wild radish,Raphanus sativus,1,24,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,2,3,,DOM,dead & standing,N/A,60,40,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,2,3,,LOMU,Italian Rye Grass,Lolium multiflorum,50,50,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,2,3,,RUCR,Curly dock,Rumex crispus,15,18,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,3,6,,DOM,dead & standing,N/A,100,15,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,3,6,,LOMU,Italian Rye Grass,Lolium multiflorum,25,35,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,4,9,,LOMU,Italian Rye Grass,Lolium multiflorum,60,43,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,4,9,,DOM,dead & standing,N/A,50,7,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,4,9,,BARE,bare ground,N/A,30,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,5,12,,LOMU,Italian Rye Grass,Lolium multiflorum,80,50,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,5,12,,RASA,Common wild radish,Raphanus sativus,10,45,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,5,12,,DOM,dead & standing,N/A,40,15,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,6,15,,LOMU,Italian Rye Grass,Lolium multiflorum,75,65,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,6,15,,WR,wrack,N/A,25,8,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,7,18,,LOMU,Italian Rye Grass,Lolium multiflorum,60,34,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,7,18,,WR,wrack,N/A,20,11,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,7,18,,BARE,bare ground,N/A,20,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,8,21,,LOMU,Italian Rye Grass,Lolium multiflorum,40,23,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,8,21,,LI,Litter (dead & not standing),N/A,20,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,9,24,,BARE,bare ground,N/A,95,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,9,24,,SAVI,Pickleweed,Salicornia virginica,5,5,2A,AW ; CR,SEEDLINGS
549905,4219868,2003,SPRING,5/16/2003,2A,10,27,,BARE,bare ground,N/A,100,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,10,27,,SAVI,Pickleweed,Salicornia virginica,1,4,2A,AW ; CR,SEEDLINGS
549905,4219868,2003,SPRING,5/16/2003,2A,11,30,,BARE,bare ground,N/A,100,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,12,33,,BARE,bare ground,N/A,100,,2A,AW ; CR,
549905,4219868,2003,SPRING,5/16/2003,2A,13,36,,BARE,bare ground,N/A,100,,2A,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,1,407,,RASA,Common wild radish,Raphanus sativus,100,100,2B,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,1,407,,BRRA,Wild turnip (mustard family),Brassica rapa,20,79,2B,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,1,407,,SPAR,Spurrey,Sperugula arvensis,15,21,2B,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,1,407,,LI,Litter (dead & not standing),N/A,15,,2B,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,2,404,,SAVI,Pickleweed,Salicornia virginica,1,6,2B,AW ; CR,SEEDLINGS
549965,4219467,2003,SPRING,5/16/2003,2B,2,404,,COCO,Brass buttons,Cotula coronopifolia,1,2,2B,AW ; CR,
549965,4219467,2003,SPRING,5/16/2003,2B,2,404,,BARE,bare ground,N/A,100,,2B,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,SPAR,Spurrey,Sperugula arvensis,20,6,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,COCO,Brass buttons,Cotula coronopifolia,15,7,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,RASA,Common wild radish,Raphanus sativus,20,7,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,BARE,bare ground,N/A,30,,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,FEMY,Fox tail,Festuca myuros,15,13,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,1,0,,LOMU,Italian Rye Grass,Lolium multiflorum,10,11,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,2,3,,ATTR,Fat hen,Atriplex triangularis,20,13,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,2,3,,SAVI,Pickleweed,Salicornia virginica,7,10,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,2,3,,LOMU,Italian Rye Grass,Lolium multiflorum,5,5,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,2,3,,BARE,bare ground,N/A,68,,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,3,6,,COCO,Brass buttons,Cotula coronopifolia,25,12,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,3,6,,DOM,dead & standing,N/A,15,10,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,3,6,,SAVI,Pickleweed,Salicornia virginica,5,9,3A,AW ; CR,SEEDLINGS
549526,4219617,2003,SPRING,5/16/2003,3A,3,6,,ATTR,Fat hen,Atriplex triangularis,5,10,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,3,6,,BARE,bare ground,N/A,50,,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,4,9,,SAVI,Pickleweed,Salicornia virginica,25,25,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,4,9,,BARE,bare ground,N/A,75,,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,4,9,,COCO,Brass buttons,Cotula coronopifolia,1,4,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,5,9,,SAVI,Pickleweed,Salicornia virginica,30,29,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,5,9,,SAVI,Pickleweed,Salicornia virginica,3,14,3A,AW ; CR,
549526,4219617,2003,SPRING,5/16/2003,3A,5,9,,BARE,bare ground,N/A,67,,3A,AW ; CR,
550109,4219822,2003,SPRING,5/16/2003,3B,1,594,,BARE,bare ground,N/A,100,,3B,AW ; CR,
550109,4219822,2003,SPRING,5/16/2003,3B,2,591,,BARE,bare ground,N/A,100,,3B,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,LOMU,Italian Rye Grass,Lolium multiflorum,70,13,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,RASA,Common wild radish,Raphanus sativus,15,28,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,SPAR,Spurrey,Sperugula arvensis,20,9,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,CESO,Yellow star thistle,Centaurea solstitialis,2,36,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,UNKN,Unknown,N/A,5,21,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,POMA,Marin Knotweed,Polygonum marinense,2,9,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,1,0,,BRHO,Soft chess,Bromus hordeaceous,1,30,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,SPRU,Sand-spurry,Spergularia rubra,20,4,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,LOMU,Italian Rye Grass,Lolium multiflorum,10,12,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,ATTR,Fat hen,Atriplex triangularis,5,5,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,SAVI,Pickleweed,Salicornia virginica,1,3,4A,AW ; CR,SEEDLINGS
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,POMA,Marin Knotweed,Polygonum marinense,5,10,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,2,3,,BARE,bare ground,N/A,60,,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,3,6,,SPRU,Sand-spurry,Spergularia rubra,5,4,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,3,6,,SAVI,Pickleweed,Salicornia virginica,5,14,4A,AW ; CR,SEEDLINGS
549611,4219443,2003,SPRING,5/16/2003,4A,3,6,,POMA,Marin Knotweed,Polygonum marinense,5,6,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,3,6,,LOMU,Italian Rye Grass,Lolium multiflorum,2,6,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,3,6,,DOM,dead & standing,N/A,83,,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,4,9,,SAVI,Pickleweed,Salicornia virginica,15,10,4A,AW ; CR,SEEDLINGS
549611,4219443,2003,SPRING,5/16/2003,4A,4,9,,LOMU,Italian Rye Grass,Lolium multiflorum,2,6,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,4,9,,ATTR,Fat hen,Atriplex triangularis,1,7,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,4,9,,COCO,Brass buttons,Cotula coronopifolia,3,4,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,4,9,,BARE,bare ground,N/A,80,,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,5,12,,SAVI,Pickleweed,Salicornia virginica,80,35,4A,AW ; CR,
549611,4219443,2003,SPRING,5/16/2003,4A,5,12,,BARE,bare ground,N/A,20,,4A,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,1,507,,RASA,Common wild radish,Raphanus sativus,30,46,4B,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,1,507,,BRRA,Wild turnip (mustard family),Brassica rapa,2,20,4B,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,1,507,,BRHO,Soft chess,Bromus hordeaceous,1,14,4B,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,1,507,,DOM,dead & standing,N/A,5,9,4B,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,1,507,,LI,Litter (dead & not standing),N/A,5,,4B,AW ; CR,
550089,4219700,2003,SPRING,5/16/2003,4B,2,504,,BARE,bare ground,N/A,100,,4B,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,1,505,,DOM,dead & standing,N/A,75,68,13,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,1,505,,TETE,New Zealand Spinach,Tetragonia tetragonioides,5,17,1,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,1,505,,POAR,Prostrate Knotweed,Polygonum arenastrum ,5,8,2,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,1,505,,LI,Litter (dead & not standing),N/A,15,,,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,2,502,,DOM,dead & standing,N/A,80,70,1,AW ; CR,
549192,4219369,2003,Summer,8/27/2003,1B,2,502,,ATTR,Fat hen,Atriplex triangularis,30,68,1,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,1,407,,DOM,dead & standing,N/A,55,86,3,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,1,407,,TETE,New Zealand Spinach,Tetragonia tetragonioides,30,48,4,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,1,407,,ATSE,Australian saltbush,Atriplex semibaccata,45,50,1,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,2,404,,ATTR,Fat hen,Atriplex triangularis,5,,,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,2,404,,LI,Litter (dead & not standing),N/A,75,,,AW ; CR,
549962,4219497,2003,Summer,8/27/2003,2B,2,404,,BARE,bare ground,N/A,20,,,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,1,594,,SAVI,Pickleweed,Salicornia virginica,75,40,3,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,2,591,,BARE,bare ground,N/A,100,,,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,3,588,,BARE,bare ground,N/A,100,,,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,4,585,,MF,mudflat,N/A,100,,,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,1,594,,BARE,bare ground,N/A,20,,,AW ; CR,
550079,4219925,2003,Summer,8/27/2003,3B,1,594,,SPRU,Sand-spurry,Spergularia rubra,5,12,0,AW ; CR,
