DATE,Year,Month,Season,Habitat,Transect,Quadrat,Spp,Common Name,Scientific Name,% Cover,Height,Density,Water depth,Easting,Northing,NOTES
5/2/2002,2002,May,Spring,MP,4,1,BARE,Bare Ground,N/A,98,,,,,,
5/2/2002,2002,May,Spring,MP,4,1,LITR,Dead and Standing,N/A,2,4,2,,,,DEAD HOBR
5/2/2002,2002,May,Spring,MP,4,2,BARE,Bare Ground,N/A,70,,,,,,
5/2/2002,2002,May,Spring,MP,4,2,COCO,Brass buttons,Cotula coronopifolia,15,7,3,,,,
5/2/2002,2002,May,Spring,MP,4,2,HOBR,Meadow Barley,Hordeum brachyantherum,4,8,2,,,,
5/2/2002,2002,May,Spring,MP,4,3,BARE,Bare Ground,N/A,97,,,,,,
5/2/2002,2002,May,Spring,MP,4,3,LITR,Dead and Standing,N/A,2,,,,,,DEAD HOBR
5/2/2002,2002,May,Spring,MP,4,3,HOBR,Meadow Barley,Hordeum brachyantherum,1,5,2,,,,
5/2/2002,2002,May,Spring,MP,5,1,BARE,Bare Ground,N/A,83,,,,,,
5/2/2002,2002,May,Spring,MP,5,1,HOMA,Mediterranean barley,Hordeum marinum,15,3,5,,,,
5/2/2002,2002,May,Spring,MP,5,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,2,5,1,,,,
5/2/2002,2002,May,Spring,MP,5,2,BARE,Bare Ground,N/A,95,,,,,,
5/2/2002,2002,May,Spring,MP,5,2,HOMA,Mediterranean barley,Hordeum marinum,5,4,4,,,,
5/2/2002,2002,May,Spring,MP,5,3,BARE,Bare Ground,N/A,90,,,,,,
5/2/2002,2002,May,Spring,MP,5,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,10,4,13,,,,
5/2/2002,2002,May,Spring,MP,6,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,MP,6,2,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,MP,6,3,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,HM,1,1,HOBR,Meadow Barley,Hordeum brachyantherum,95,44,600,,,,
5/2/2002,2002,May,Spring,HM,1,1,COCO,Brass buttons,Cotula coronopifolia,0.5,,,,,,
5/2/2002,2002,May,Spring,HM,1,1,BARE,Bare Ground,N/A,3.5,,,,,,
5/2/2002,2002,May,Spring,HM,1,2,BARE,Bare Ground,N/A,74,,,,,,
5/2/2002,2002,May,Spring,HM,1,2,HOBR,Meadow Barley,Hordeum brachyantherum,20,29,80,,,,
5/2/2002,2002,May,Spring,HM,1,2,LOMU,Italian Ryegrass,Lolium multiflorum,1,29,1,,,,
5/2/2002,2002,May,Spring,HM,1,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,17,2,,,,
5/2/2002,2002,May,Spring,HM,1,3,HOBR,Meadow Barley,Hordeum brachyantherum,85,43,500,,,,
5/2/2002,2002,May,Spring,HM,1,3,BARE,Bare Ground,N/A,15,,,,,,
5/2/2002,2002,May,Spring,HM,2,1,HOBR,Meadow Barley,Hordeum brachyantherum,72,42,250,,,,
5/2/2002,2002,May,Spring,HM,2,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,27,3,,,,
5/2/2002,2002,May,Spring,HM,2,1,HOMA,Mediterranean barley,Hordeum marinum,4,18,5,,,,
5/2/2002,2002,May,Spring,HM,2,1,BARE,Bare Ground,N/A,5,,,,,,
5/2/2002,2002,May,Spring,HM,2,1,MEPO,California burrclover,Medicago polymorpha,4,24,1,,,,
5/2/2002,2002,May,Spring,HM,2,2,HOBR,Meadow Barley,Hordeum brachyantherum,68,50,130,,,,
5/2/2002,2002,May,Spring,HM,2,2,BARE,Bare Ground,N/A,25,,,,,,
5/2/2002,2002,May,Spring,HM,2,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,4,21,2,,,,
5/2/2002,2002,May,Spring,HM,2,2,ESCA,California Poppy,Eschscholzia californica,3,14,1,,,,
5/2/2002,2002,May,Spring,HM,2,2,MEPO,California burrclover,Medicago polymorpha,5,10,1,,,,
5/2/2002,2002,May,Spring,HM,2,2,HOMA,Mediterranean barley,Hordeum marinum,1,,1,,,,
5/2/2002,2002,May,Spring,HM,2,3,HOBR,Meadow Barley,Hordeum brachyantherum,80,50,300,,,,
5/2/2002,2002,May,Spring,HM,2,3,LITR,Dead and Standing,N/A,10,,,,,,
5/2/2002,2002,May,Spring,HM,2,3,BARE,Bare Ground,N/A,9.5,,,,,,
5/2/2002,2002,May,Spring,HM,2,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,0.5,,,,,,
5/2/2002,2002,May,Spring,HM,3,1,HOBR,Meadow Barley,Hordeum brachyantherum,60,35,150,,,,
5/2/2002,2002,May,Spring,HM,3,1,BARE,Bare Ground,N/A,36,,,,,,
5/2/2002,2002,May,Spring,HM,3,1,COCO,Brass buttons,Cotula coronopifolia,3.5,5,1,,,,
5/2/2002,2002,May,Spring,HM,3,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,0.5,4,1,,,,
5/2/2002,2002,May,Spring,HM,3,2,HOBR,Meadow Barley,Hordeum brachyantherum,40,35,100,,,,
5/2/2002,2002,May,Spring,HM,3,2,BARE,Bare Ground,N/A,40,,,,,,
5/2/2002,2002,May,Spring,HM,3,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,20,22,5,,,,
5/2/2002,2002,May,Spring,HM,3,3,HOBR,Meadow Barley,Hordeum brachyantherum,75,37,220,,,,
5/2/2002,2002,May,Spring,HM,3,3,BARE,Bare Ground,N/A,20,,,,,,
5/2/2002,2002,May,Spring,HM,3,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,15,1,,,,
5/2/2002,2002,May,Spring,HM,4,1,BARE,Bare Ground,N/A,54,,,,,,
5/2/2002,2002,May,Spring,HM,4,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,20,19,10,,,,
5/2/2002,2002,May,Spring,HM,4,1,LOMU,Italian Ryegrass,Lolium multiflorum,15,35,50,,,,
5/2/2002,2002,May,Spring,HM,4,1,COCO,Brass buttons,Cotula coronopifolia,1,7,2,,,,
5/2/2002,2002,May,Spring,HM,4,1,HOMA,Mediterranean barley,Hordeum marinum,10,10,20,,,,
5/2/2002,2002,May,Spring,HM,4,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,40,33,70,,,,
5/2/2002,2002,May,Spring,HM,4,2,HOBR,Meadow Barley,Hordeum brachyantherum,40,45,80,,,,
5/2/2002,2002,May,Spring,HM,4,2,COCO,Brass buttons,Cotula coronopifolia,4,13,5,,,,
5/2/2002,2002,May,Spring,HM,4,2,LOMU,Italian Ryegrass,Lolium multiflorum,1,36,2,,,,
5/2/2002,2002,May,Spring,HM,4,2,BARE,Bare Ground,N/A,15,,,,,,
5/2/2002,2002,May,Spring,HM,4,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,60,19,120,,,,
5/2/2002,2002,May,Spring,HM,4,3,COCO,Brass buttons,Cotula coronopifolia,10,7,8,,,,
5/2/2002,2002,May,Spring,HM,4,3,HOBR,Meadow Barley,Hordeum brachyantherum,5,27,30,,,,
5/2/2002,2002,May,Spring,HM,4,3,HOMA,Mediterranean barley,Hordeum marinum,5,9,7,,,,
5/2/2002,2002,May,Spring,HM,4,3,LOMU,Italian Ryegrass,Lolium multiflorum,1,15,1,,,,
5/2/2002,2002,May,Spring,HM,4,3,BARE,Bare Ground,N/A,19,,,,,,
5/2/2002,2002,May,Spring,HM,5,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,25,15,80,,,,
5/2/2002,2002,May,Spring,HM,5,1,HOBR,Meadow Barley,Hordeum brachyantherum,15,20,40,,,,
5/2/2002,2002,May,Spring,HM,5,1,LOMU,Italian Ryegrass,Lolium multiflorum,3,10,3,,,,
5/2/2002,2002,May,Spring,HM,5,1,BARE,Bare Ground,N/A,57,,,,,,
5/2/2002,2002,May,Spring,HM,5,2,HOBR,Meadow Barley,Hordeum brachyantherum,45,47,150,,,,
5/2/2002,2002,May,Spring,HM,5,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,30,32,70,,,,
5/2/2002,2002,May,Spring,HM,5,2,LOMU,Italian Ryegrass,Lolium multiflorum,10,36,25,,,,
5/2/2002,2002,May,Spring,HM,5,2,COCO,Brass buttons,Cotula coronopifolia,2,5,2,,,,
5/2/2002,2002,May,Spring,HM,5,2,MEPO,California burrclover,Medicago polymorpha,1,8,3,,,,
5/2/2002,2002,May,Spring,HM,5,2,HOMA,Mediterranean barley,Hordeum marinum,5,14,20,,,,
5/2/2002,2002,May,Spring,HM,5,2,ANAR,Scarlet pimpernel,Anagallis arvensis,0.5,3,1,,,,
5/2/2002,2002,May,Spring,HM,5,2,BARE,Bare Ground,N/A,6.5,,,,,,
5/2/2002,2002,May,Spring,HM,5,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,40,24,160,,,,
5/2/2002,2002,May,Spring,HM,5,3,COCO,Brass buttons,Cotula coronopifolia,10,8,11,,,,
5/2/2002,2002,May,Spring,HM,5,3,HOBR,Meadow Barley,Hordeum brachyantherum,10,31,50,,,,
5/2/2002,2002,May,Spring,HM,5,3,LOMU,Italian Ryegrass,Lolium multiflorum,5,35,7,,,,
5/2/2002,2002,May,Spring,HM,5,3,BARE,Bare Ground,N/A,35,,,,,,
5/2/2002,2002,May,Spring,HM,6,1,HOBR,Meadow Barley,Hordeum brachyantherum,40,17,184,,,,
5/2/2002,2002,May,Spring,HM,6,1,BARE,Bare Ground,N/A,60,,,,,,
5/2/2002,2002,May,Spring,HM,6,2,COCO,Brass buttons,Cotula coronopifolia,15,10,4,,,,
5/2/2002,2002,May,Spring,HM,6,2,HOBR,Meadow Barley,Hordeum brachyantherum,8,,42,,,,
5/2/2002,2002,May,Spring,HM,6,2,BARE,Bare Ground,N/A,77,,,,,,
5/2/2002,2002,May,Spring,HM,6,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,15,2,,,,
5/2/2002,2002,May,Spring,HM,6,3,COCO,Brass buttons,Cotula coronopifolia,3,13,1,,,,
5/2/2002,2002,May,Spring,HM,6,3,HOBR,Meadow Barley,Hordeum brachyantherum,85,30,360,,,,
5/2/2002,2002,May,Spring,HM,6,3,BARE,Bare Ground,N/A,7,,,,,,
5/2/2002,2002,May,Spring,UP,1,1,VUMI,N/A,Vulpia microstachys,10,15,60,,,,
5/2/2002,2002,May,Spring,UP,1,1,LOMU,Italian Ryegrass,Lolium multiflorum,10,25,40,,,,
5/2/2002,2002,May,Spring,UP,1,1,LOPU,N/A,Lotus purshianus,1,10,3,,,,
5/2/2002,2002,May,Spring,UP,1,1,HOMA,Mediterranean barley,Hordeum marinum,2,8,10,,,,
5/2/2002,2002,May,Spring,UP,1,1,HOBR,Meadow Barley,Hordeum brachyantherum,1,17,3,,,,
5/2/2002,2002,May,Spring,UP,1,1,PIEC,Bristly ox-tongue,Picris echioides,0.5,0.5,1,,,,
5/2/2002,2002,May,Spring,UP,1,1,LITR,Dead and Standing,N/A,75.5,,,,,,HAY LAYER OF DUFF
5/2/2002,2002,May,Spring,UP,1,2,HOBR,Meadow Barley,Hordeum brachyantherum,15,20,70,,,,
5/2/2002,2002,May,Spring,UP,1,2,LOPU,N/A,Lotus purshianus,2,18,3,,,,
5/2/2002,2002,May,Spring,UP,1,2,LOMU,Italian Ryegrass,Lolium multiflorum,10,27,30,,,,
5/2/2002,2002,May,Spring,UP,1,2,COCO,Brass buttons,Cotula coronopifolia,0.5,3,1,,,,
5/2/2002,2002,May,Spring,UP,1,2,UNK,#N/A,#N/A,1,4,3,,,,SEEDLING
5/2/2002,2002,May,Spring,UP,1,2,DUFF,Dead Not Standing,N/A,71.5,,,,,,Hay
5/2/2002,2002,May,Spring,UP,1,3,LOPU,N/A,Lotus purshianus,5,25,4,,,,
5/2/2002,2002,May,Spring,UP,1,3,HOBR,Meadow Barley,Hordeum brachyantherum,15,18,10,,,,
5/2/2002,2002,May,Spring,UP,1,3,LOMU,Italian Ryegrass,Lolium multiflorum,15,12,60,,,,
5/2/2002,2002,May,Spring,UP,1,3,COCO,Brass buttons,Cotula coronopifolia,1,8,2,,,,
5/2/2002,2002,May,Spring,UP,1,3,LITR,Dead and Standing,N/A,20,,,,,,HAY
5/2/2002,2002,May,Spring,UP,1,3,UNK,#N/A,#N/A,1,3,3,,,,SEEDLING
5/2/2002,2002,May,Spring,UP,2,1,VUMI,N/A,Vulpia microstachys,10,20,60,,,,
5/2/2002,2002,May,Spring,UP,2,1,COCO,Brass buttons,Cotula coronopifolia,1,6,9,,,,
5/2/2002,2002,May,Spring,UP,2,1,BRHO,Soft chess,Bromus hordeaceous,1,17,2,,,,
5/2/2002,2002,May,Spring,UP,2,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,0.5,6,3,,,,
5/2/2002,2002,May,Spring,UP,2,1,HOBR,Meadow Barley,Hordeum brachyantherum,0.5,7,1,,,,
5/2/2002,2002,May,Spring,UP,2,1,BARE,Bare Ground,N/A,87,,,,,,
5/2/2002,2002,May,Spring,UP,2,2,VUMI,N/A,Vulpia microstachys,10,15,70,,,,
5/2/2002,2002,May,Spring,UP,2,2,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,7,10,,,,
5/2/2002,2002,May,Spring,UP,2,2,COCO,Brass buttons,Cotula coronopifolia,2,3,8,,,,
5/2/2002,2002,May,Spring,UP,2,2,HOMA,Mediterranean barley,Hordeum marinum,1,13,2,,,,
5/2/2002,2002,May,Spring,UP,2,2,LOPU,N/A,Lotus purshianus,0.5,,2,,,,
5/2/2002,2002,May,Spring,UP,2,2,MEPO,California burrclover,Medicago polymorpha,1.5,13,1,,,,
5/2/2002,2002,May,Spring,UP,2,2,BARE,Bare Ground,N/A,80,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,HOBR,Meadow Barley,Hordeum brachyantherum,10,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,COCO,Brass buttons,Cotula coronopifolia,0.5,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,VUMI,N/A,Vulpia microstachys,5,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,LITR,Dead and Standing,N/A,30,,,,,,
5/2/2002,2002,May,Spring,UP,2,3,BARE,Bare Ground,N/A,49.5,,,,,,
5/2/2002,2002,May,Spring,UP,3,1,VUMI,N/A,Vulpia microstachys,20,22,100,,,,
5/2/2002,2002,May,Spring,UP,3,1,LOPU,N/A,Lotus purshianus,1,10,8,,,,
5/2/2002,2002,May,Spring,UP,3,1,HOMA,Mediterranean barley,Hordeum marinum,5,18,3,,,,
5/2/2002,2002,May,Spring,UP,3,1,POSP,Unknown grass Poaceae,N/A,15,10,120,,,,
5/2/2002,2002,May,Spring,UP,3,1,BARE,Bare Ground,N/A,59,,,,,,
5/2/2002,2002,May,Spring,UP,3,2,VUMI,N/A,Vulpia microstachys,30,20,150,,,,
5/2/2002,2002,May,Spring,UP,3,2,POSP,Unknown grass Poaceae,N/A,40,9,150,,,,
5/2/2002,2002,May,Spring,UP,3,2,LITR,Dead and Standing,N/A,30,,,,,,
5/2/2002,2002,May,Spring,UP,3,3,VUMI,N/A,Vulpia microstachys,20,17,100,,,,
5/2/2002,2002,May,Spring,UP,3,3,HOBR,Meadow Barley,Hordeum brachyantherum,10,17,50,,,,
5/2/2002,2002,May,Spring,UP,3,3,LOMU,Italian Ryegrass,Lolium multiflorum,2,25,2,,,,
5/2/2002,2002,May,Spring,UP,3,3,COCO,Brass buttons,Cotula coronopifolia,0.5,8,3,,,,
5/2/2002,2002,May,Spring,UP,3,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,0.5,10,1,,,,
5/2/2002,2002,May,Spring,UP,3,3,LITR,Dead and Standing,N/A,43,,,,,,
5/2/2002,2002,May,Spring,UP,3,3,BARE,Bare Ground,N/A,24,,,,,,
5/2/2002,2002,May,Spring,UP,4,1,HOBR,Meadow Barley,Hordeum brachyantherum,20,26,70,,,,
5/2/2002,2002,May,Spring,UP,4,1,LOPU,N/A,Lotus purshianus,2,12,9,,,,
5/2/2002,2002,May,Spring,UP,4,1,VUMI,N/A,Vulpia microstachys,78,32,,,,,
5/2/2002,2002,May,Spring,UP,4,1,PIEC,Bristly ox-tongue,Picris echioides,1,4,2,,,,
5/2/2002,2002,May,Spring,UP,4,2,LOPU,N/A,Lotus purshianus,2,7,19,,,,
5/2/2002,2002,May,Spring,UP,4,2,HOBR,Meadow Barley,Hordeum brachyantherum,1,12,2,,,,
5/2/2002,2002,May,Spring,UP,4,2,BRDI,Ripgut brome,Bromus diandrus,1,15,1,,,,
5/2/2002,2002,May,Spring,UP,4,2,VUMI,N/A,Vulpia microstachys,96,,,,,,DEAD/DYING
5/2/2002,2002,May,Spring,UP,4,3,LOPU,N/A,Lotus purshianus,1,7,17,,,,
5/2/2002,2002,May,Spring,UP,4,3,MEPO,California burrclover,Medicago polymorpha,1,5,1,,,,
5/2/2002,2002,May,Spring,UP,4,3,VUMI,N/A,Vulpia microstachys,98,,,,,,DEAD/DYING
5/2/2002,2002,May,Spring,UP,5,1,HOBR,Meadow Barley,Hordeum brachyantherum,15,26,50,,,,
5/2/2002,2002,May,Spring,UP,5,1,LOPU,N/A,Lotus purshianus,1,6,12,,,,
5/2/2002,2002,May,Spring,UP,5,1,LITR,Dead and Standing,N/A,49,,,,,,
5/2/2002,2002,May,Spring,UP,5,1,VUMI,N/A,Vulpia microstachys,35,,,,,,
5/2/2002,2002,May,Spring,UP,5,2,HOBR,Meadow Barley,Hordeum brachyantherum,25,25,60,,,,
5/2/2002,2002,May,Spring,UP,5,2,LOPU,N/A,Lotus purshianus,1,7,12,,,,
5/2/2002,2002,May,Spring,UP,5,2,VUMI,N/A,Vulpia microstachys,10,18,,,,,
5/2/2002,2002,May,Spring,UP,5,2,PIEC,Bristly ox-tongue,Picris echioides,0.5,5,1,,,,
5/2/2002,2002,May,Spring,UP,5,2,BARE,Bare Ground,N/A,65.5,,,,,,
5/2/2002,2002,May,Spring,UP,5,3,HOBR,Meadow Barley,Hordeum brachyantherum,7,28,12,,,,
5/2/2002,2002,May,Spring,UP,5,3,LOPU,N/A,Lotus purshianus,0.5,5,6,,,,
5/2/2002,2002,May,Spring,UP,5,3,VUMI,N/A,Vulpia microstachys,20,26,,,,,
5/2/2002,2002,May,Spring,UP,5,3,BARE,Bare Ground,N/A,72.5,,,,,,
5/2/2002,2002,May,Spring,UP,6,1,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,20,17,45,,,,
5/2/2002,2002,May,Spring,UP,6,1,HOBR,Meadow Barley,Hordeum brachyantherum,10,10,30,,,,
5/2/2002,2002,May,Spring,UP,6,1,LOMU,Italian Ryegrass,Lolium multiflorum,5,34,10,,,,
5/2/2002,2002,May,Spring,UP,6,1,LOPU,N/A,Lotus purshianus,1,4,5,,,,
5/2/2002,2002,May,Spring,UP,6,1,COCO,Brass buttons,Cotula coronopifolia,0.5,5,1,,,,
5/2/2002,2002,May,Spring,UP,6,1,VUMI,N/A,Vulpia microstachys,14,,,,,,
5/2/2002,2002,May,Spring,UP,6,1,BARE,Bare Ground,N/A,49.5,,,,,,
5/2/2002,2002,May,Spring,UP,6,2,LOMU,Italian Ryegrass,Lolium multiflorum,5,18,10,,,,
5/2/2002,2002,May,Spring,UP,6,2,HOBR,Meadow Barley,Hordeum brachyantherum,25,22,35,,,,
5/2/2002,2002,May,Spring,UP,6,2,LITR,Dead and Standing,N/A,69,,,,,,
5/2/2002,2002,May,Spring,UP,6,2,UNK,#N/A,#N/A,1,5,1,,,,SEEDLING
5/2/2002,2002,May,Spring,UP,6,3,HOBR,Meadow Barley,Hordeum brachyantherum,40,57,80,,,,
5/2/2002,2002,May,Spring,UP,6,3,POMO,Rabbitfoot beardgrass,Polypogon monspeliensis,5,13,3,,,,
5/2/2002,2002,May,Spring,UP,6,3,HOMA,Mediterranean barley,Hordeum marinum,8,14,25,,,,
5/2/2002,2002,May,Spring,UP,6,3,LOMU,Italian Ryegrass,Lolium multiflorum,8,37,10,,,,
5/2/2002,2002,May,Spring,UP,6,3,BARE,Bare Ground,N/A,39,,,,,,
8/18/2002,2002,August,Summer,MP,1,1,BARE,Bare Ground,N/A,100,,,,,,
8/18/2002,2002,August,Summer,MP,1,2,BARE,Bare Ground,N/A,100,,,,,,
8/18/2002,2002,August,Summer,MP,1,3,COCO,Brass buttons,Cotula coronopifolia,10,9,1,,,,
8/18/2002,2002,August,Summer,MP,1,3,BARE,Bare Ground,N/A,90,,,,,,
8/18/2002,2002,August,Summer,HM,1,3,COCO,Brass buttons,Cotula coronopifolia,25,9,2,,,,
8/18/2002,2002,August,Summer,HM,1,3,BARE,Bare Ground,N/A,75,,,,,,
8/18/2002,2002,August,Summer,HM,1,2,SAVI,Pickleweed,Salicornia virginica,30,3,1,,,,
8/18/2002,2002,August,Summer,HM,1,2,BARE,Bare Ground,N/A,70,,,,,,
8/18/2002,2002,August,Summer,HM,1,3,SAVI,Pickleweed,Salicornia virginica,23,,,,,,
8/18/2002,2002,August,Summer,HM,1,3,BARE,Bare Ground,N/A,77,,,,,,
8/19/2002,2002,August,Summer,UP,6,1,HOBR,Meadow Barley,Hordeum brachyantherum,7,,,,,,
8/19/2002,2002,August,Summer,UP,6,1,LITR,Dead and Standing,N/A,10,,,,,,
8/19/2002,2002,August,Summer,UP,6,1,DUFF,Dead Not Standing,N/A,83,,,,,,Hay
