Month,Year,Date,Project,Tide,Start,Ttime,Temp,Wind,Sky,Precip,Grid_250,Species,Common Name,Scientific Name,Bd_Type,Guild,Number,Habitat,Behavior,Obs,Notes
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,EUST,European Starling,Sturnus vulgaris,Passerine,GR ,1,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,6,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,2,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,NOHA,Northern Harrier,Circus cyaneus,Raptor,AP,1,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,10,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,YRWA,Yellow-rumped Warbler,Dendroica coronata,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,AMGO,American Goldfinch,Carduelis tristis,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,BLPH,Black Phoebe,Sayornis nigricans,Passerine,AF,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,4,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,6,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,BARS,Barn Swallow,Hirundo rustica,Passerine,AF,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,Passerine,AF,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,NOMO,Northern Mockingbird,Lanius excubitor,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,8,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,9,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,Passerine,AF,3,,,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,2,WEGR,Western Grebe,Aechmophorus occidentalis,Grebe,DIV,1,OW,SW,,Swimming toward slough-bordering site
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,2,GULL,Unknown Gull,Laridae spp,Gull/Tern,OP,5,AE,FL,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,1,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,1,LV,AL,,Flushed
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,6,DUNL,Dunlin,Calidris alpina,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,6,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,12,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,6,AMPI,American Pipit,Anthus rubescens,Passerine,GR ,10,LV,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,6,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,6,DUNL,Dunlin,Calidris alpina,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,SNEG,Snowy Egret,Egretta thula,Wader,WD,1,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,DUNL,Dunlin,Calidris alpina,Shorebird,SP,3,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,3,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,RODO,Rock Dove,Coluba livia,Passerine,GR ,10,LV,FO,,Using mud and hay.
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,12,BNST,Black-necked Stilt,Himantopus mexicanus,Shorebird,SP,1,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,12,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,6,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,7,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,NOPI,Northern Pintail,Anas acuta,Dabbler,DAB,9,AE,FL,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,11,DUNL,Dunlin,Calidris alpina,Shorebird,SP,7,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,16,DUNL,Dunlin,Calidris alpina,Shorebird,SP,1,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,16,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,22,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,16,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,2,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,16,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,5,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,16,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,5,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,17,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,10,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,DUNL,Dunlin,Calidris alpina,Shorebird,SP,3,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,20,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,10,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,50,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,10,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,DUNL,Dunlin,Calidris alpina,Shorebird,SP,10,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,40,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,18,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,25,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,19,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,10,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,19,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,10,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,19,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,5,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,BNST,Black-necked Stilt,Himantopus mexicanus,Shorebird,SP,6,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,8,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,65,MF,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,DUNL,Dunlin,Calidris alpina,Shorebird,SP,10,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,15,CE/MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,15,CE/MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,14,RODO,Rock Dove,Coluba livia,Passerine,GR ,12,MF,AL,,Mud and hay.
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,9,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,20,MF,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,9,GRYE,Greater Yellowlegs,Tringa melanoleuca,Shorebird,SP,2,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,9,SESA,Semipalmated Sandpiper,Calidris pusilla,Shorebird,SP,10,CE,FO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,8,LOSH,Loggerhead Shrike,Lanius excubitor,Passerine,AP,1,LE,RO,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,8,FOTE,Forster's Tern,Sterna forsteri,Gull/Tern,PIS,2,AE,FL,,
December,2001,12/08/01,GC,LOW,8:00,1.8,55,5,20,0,2,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,1,CE,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,3,WEGR,Western Grebe,Aechmophorus occidentalis,Grebe,DIV,1,OW,SW,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,3,CANG,Canada Goose,Branta canadensis,Geese,OTHER,7,AE,FL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,4,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,4,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,1,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,8,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,2,MF,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,6,GULL,Unknown Gull,Laridae spp,Gull/Tern,OP,1,MF,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,3,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,1,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,3,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,2,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,3,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,4,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,Passerine,GR ,10,OL,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,4,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,OP,CA,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,OP,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,9,WESA,Western Sandpiper,Calidris mauri,Shorebird,SP,70,MF,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,9,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,1,SH,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,14,GBHE,Great Blue Heron,Ardea herodias,Wader,WD,1,AE,FL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,14,WESA,Western Sandpiper,Calidris mauri,Shorebird,SP,60,SH,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,14,DUNL,Dunlin,Calidris alpina,Shorebird,SP,3,SH,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,18,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,3,SH,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,12,NOPI,Northern Pintail,Anas acuta,Dabbler,DAB,6,AE,FL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,17,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,15,OP,RO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,16,RTHA,Red-tailed Hawk,Buteo jamaicensis,Raptor,AP,2,AE,FL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,6,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,25,SH,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,6,WESA,Western Sandpiper,Calidris mauri,Shorebird,SP,4,SH,FO,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,1,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,MF,AL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,13,NOHA,Northern Harrier,Circus cyaneus,Raptor,AP,1,AE,FL,,
January,2002,01/09/02,GC,LOW,8:18,1.3,50,5,100,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,OP,RO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,13,RUDU,Ruddy Duck,Oxyura jamaicensis,Diving,DIV,5,OW,SW,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,1,WEGR,Western Grebe,Aechmophorus occidentalis,Grebe,DIV,1,OW,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,1,RUDU,Ruddy Duck,Oxyura jamaicensis,Diving,DIV,2,OW,SW,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,13,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,AE,FL,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,2,BUFF,Bufflehead,Bucephala albeola,Diving,DIV,1,OW,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,3,OP,CA,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,OP,CA,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,10,OL,CA,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,UL,RO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,4,OL,CA,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,3,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,2,OP,CA,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,4,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,Passerine,GR ,25,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,10,OL,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,9,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,2,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,14,WTKI,White-tailed Kite,Elanus leucurus,Raptor,AP,1,AE,FL,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,15,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,25,OL,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,15,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,Passerine,GR ,15,OL,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,18,WESA,Western Sandpiper,Calidris mauri,Shorebird,SP,180,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,18,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,75,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,18,DUNL,Dunlin,Calidris alpina,Shorebird,SP,10,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,18,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,20,MF,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,12,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,18,SH,RO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,12,BUFF,Bufflehead,Bucephala albeola,Diving,DIV,1,OW,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,16,CANG,Canada Goose,Branta canadensis,Geese,OTHER,8,MP,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,1,SNEG,Snowy Egret,Egretta thula,Wader,WD,1,CE,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,16,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,2,MP,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,11,BRBL,Brewer's Blackbird,Euphagus cyanocephalus,Passerine,GR ,4,LV,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,11,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,LV,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,11,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,4,CE,AL,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,6,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,2,LV,AL,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,1,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,Passerine,GR ,1,OP,FO,,
February,2002,02/08/02,GC,HIGH,8:00,1.7,40,0,15,0,8,SCAU,Scaup,Aythya spp.,Diving,DIV,5,OW,SW,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,9,CANG,Canada Goose,Branta canadensis,Geese,OTHER,42,MP,FO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,8,NOPI,Northern Pintail,Anas acuta,Dabbler,DAB,4,OW,SW,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,8,BUFF,Bufflehead,Bucephala albeola,Diving,DIV,2,OW,FO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,8,SNEG,Snowy Egret,Egretta thula,Wader,WD,1,SH,FO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,9,SCAU,Scaup,Aythya spp.,Diving,DIV,2,SH,RO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,8,NSHO,Northern Shoveler,Anas clypeata,Dabbler,DAB,6,OW,SW,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,19,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,UL,CA,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,9,GADW,Gadwall,Anas strepera,Dabbler,DAB,2,SH,RO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,3,OP,CA,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,4,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,OP,CA,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,OP,RO,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,3,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,1,OP,CA,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,8,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,OW,SW,,
March,2002,03/11/02,GC,HIGH,10:10,1.3,62,1,35,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,OP,UN,,
